Carimbo de data/hora,Idade,Sexo,Cor ou raça/etnia,Área de formação (graduação),Estado de origem,Relação com o RCGI,Você conhece a Agenda 2030 da ONU e os ODS?,Como você avalia seu grau de conhecimento sobre a Agenda 2030 e os ODS?,Essa avaliação se refere a qual projeto do RCGI? ,Erradicação da pobreza,Fome zero,Saude e bem estar,Educacao de qualidade,Igualdade de genero,Agua potavel e saneamento,Energia limpa e acessivel,Trabalho decente e crescimento economico,"Industria, inovacao e infraestrutura",Reducao da desigualdade,Cidades e comunidades sustentaveis,Consumo e producao responsaveis,Acao contra mudanca global do clima,Vida na agua,Vida terrestre,"Paz, justilca e instituicoes eficazes",Parcerias e meios de implementacao,Quais atitudes poderiam fazer seu projeto relevante em mais ODS? (opcional),Você participa de outro projeto do RCGI?,
2020/05/18 11:41:56 AM GMT-3,18 - 24,Masculino,Branca,Economia,São Paulo (SP),Aluno de iniciação científica,Sim,4,Projeto 26,3,3,3,2,1,2,5,5,5,2,5,5,5,1,3,1,4,,não,Não participo.
2020/05/18 11:43:34 AM GMT-3,30 - 34,Feminino,Branca,Química,Espírito Santo (ES),Pós-doutorando,Sim,2,Projeto 31,3,1,5,5,1,1,5,1,5,1,5,5,5,5,5,1,5,,não,Não participo.
2020/05/18 11:51:21 AM GMT-3,30 - 34,Masculino,Branca,Engenharia,São Paulo (SP),Aluno de mestrado,Sim,3,Projeto 39,3,2,5,3,3,2,5,4,5,4,4,5,5,5,5,4,5,,não,Não participo.
2020/05/18 11:53:50 AM GMT-3,25 - 29,Masculino,Prefiro não declarar,Engenharia,São Paulo (SP),Aluno de doutorado,Sim,3,Projeto 27,3,5,3,3,2,5,5,3,4,2,5,4,5,3,4,2,3,"- Readequação do foco do projeto
- Buscar parcerias para implementar ou medir impactos (econômicos e ambientais) de projetos de biogás",não,Não participo.
2020/05/18 11:54:05 AM GMT-3,30 - 34,Masculino,Prefiro não declarar,Química,Minas Gerais (MG),Pós-doutorando,Não,,Projeto 30,1,1,1,3,3,1,4,1,3,1,2,1,4,1,1,1,1,,não,Não participo.
2020/05/18 11:55:59 AM GMT-3,55 - 59,Masculino,Branca,Química,São Paulo (SP),Professor - Pesquisador,Não,,Projeto 30,1,1,4,3,1,2,5,4,5,2,2,4,5,3,4,1,5,,não,Não participo.
2020/05/18 11:59:55 AM GMT-3,30 - 34,Masculino,Branca,Física,São Paulo (SP),Pós-doutorando,Não,,Projeto 46,1,1,1,5,1,1,2,5,5,1,2,2,1,1,1,1,5,,não,Não participo.
2020/05/18 12:01:59 PM GMT-3,60 - 64,Masculino,Prefiro não declarar,Matemática Aplicada,São Paulo (SP),Professor - Pesquisador,Sim,3,Projeto 46,3,2,2,4,4,1,3,4,5,3,3,3,2,1,1,3,5,,não,Não participo.
2020/05/18 12:04:16 PM GMT-3,25 - 29,Feminino,Preta,Engenharia,São Paulo (SP),Aluno de mestrado,Sim,4,Projeto 17,2,1,5,3,1,2,1,1,5,2,4,4,5,4,4,3,4,,não,Não participo.
2020/05/18 12:09:05 PM GMT-3,60 - 64,Masculino,Homo sapiens sapiens,Engenharia,São Paulo (SP),Pesquisador,Sim,3,Projeto 8,3,3,3,3,3,3,5,5,5,2,3,4,5,4,4,4,5,,não,Não participo.
2020/05/18 12:09:26 PM GMT-3,35 - 39,Feminino,Branca,Engenharia,São Paulo (SP),Pós-doutorando,Sim,3,Projeto 16,1,1,1,3,1,1,5,1,2,1,3,1,5,1,1,1,1,"Testes em campo, e legislação sobre combustíveis  solares ",não,Não participo.
2020/05/18 12:11:01 PM GMT-3,35 - 39,Masculino,Amarela,Engenharia,São Paulo (SP),Pós-doutorando,Não,,Projeto 39,4,2,5,3,1,2,4,2,4,1,3,4,5,1,3,1,5,,não,Não participo.
2020/05/18 12:18:52 PM GMT-3,30 - 34,Masculino,Branca,Engenharia,São Paulo (SP),Pós-doutorando,Sim,3,Projeto 10,1,1,4,1,1,1,5,1,4,1,3,5,5,1,3,1,4,,não,Não participo.
2020/05/18 12:38:56 PM GMT-3,25 - 29,Feminino,Branca,Geologia,São Paulo (SP),Aluno de mestrado,Sim,3,Projeto 36,1,2,5,2,2,2,5,1,5,1,3,4,5,2,4,2,5,,não,Não participo.
2020/05/18 12:47:01 PM GMT-3,35 - 39,Masculino,Branca,Engenharia,São Paulo (SP),Consultor,Não,,Projeto 34,1,1,4,3,2,1,5,4,4,1,2,4,5,1,1,1,2,Maior interface com universidades estrangeiras (ODS 17),não,Não participo.
2020/05/18 12:52:48 PM GMT-3,30 - 34,Feminino,Indígena,Biologia,São Paulo (SP),Pós-doutorando,Não,,Projeto 17,3,5,4,3,3,4,5,4,4,3,5,5,5,5,4,4,5,,não,Não participo.
2020/05/18 1:20:36 PM GMT-3,25 - 29,Feminino,Preta,Engenharia,Distrito Federal (DF),Aluno de mestrado,Sim,5,Projeto 32,1,1,3,1,1,2,5,3,5,1,5,4,5,1,1,1,5,Dar uma importância maior e adequada a avaliação de impacto ambiental e focar os projetos mais coerentemente com essas indicações,não,Não participo.
2020/05/18 1:39:12 PM GMT-3,45 - 49,Feminino,Branca,Química,São Paulo (SP),Pós-doutorando,Não,,Projeto 3,1,1,5,3,3,1,5,2,3,2,3,3,4,1,3,1,3,,não,Não participo.
2020/05/18 1:39:15 PM GMT-3,18 - 24,Feminino,Branca,Engenharia,Minas Gerais (MG),Aluno de mestrado,Não,,Projeto 38,1,1,3,4,1,1,4,4,4,1,4,3,5,2,3,2,3,,não,Não participo.
2020/05/18 1:43:03 PM GMT-3,55 - 59,Masculino,Branca,Química,São Paulo (SP),Pesquisador,Não,,Projeto 20,3,1,5,4,5,3,5,5,5,5,5,5,5,4,5,4,5,,não,Não participo.
2020/05/18 1:45:00 PM GMT-3,30 - 34,Outro,Parda,Engenharia,São Paulo (SP),Pesquisador,Sim,4,Projeto 24,3,3,4,3,3,1,5,5,5,3,5,5,5,2,4,4,5,,não,Não participo.
2020/05/18 1:48:24 PM GMT-3,25 - 29,Masculino,Parda,Engenharia,Minas Gerais (MG),Aluno de mestrado,Sim,3,Projeto 7,1,1,5,1,1,1,5,2,5,1,2,4,5,2,2,1,5,,não,Não participo.
2020/05/18 1:51:05 PM GMT-3,25 - 29,Feminino,Prefiro não declarar,Química,Rio de Janeiro (RJ),Aluno de doutorado,Não,,Projeto 12,2,3,5,5,1,2,5,5,5,1,5,5,5,1,5,1,5,,não,Não participo.
2020/05/18 1:53:35 PM GMT-3,65+,Masculino,Branca,Física,São Paulo (SP),Professor - Pesquisador,Não,,Projeto 41,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Maior divulgação junto ao público. ,não,Não participo.
2020/05/18 1:54:17 PM GMT-3,55 - 59,Masculino,Branca,Engenharia,São Paulo (SP),Técnico de laboratório,Não,,Projeto 12,5,5,5,5,3,5,5,5,5,5,5,3,5,4,5,3,4,,não,Não participo.
2020/05/18 1:58:22 PM GMT-3,45 - 49,Masculino,Amarela,Engenharia,São Paulo (SP),Pós-doutorando,Não,,Projeto 35,1,1,5,1,1,1,3,1,2,1,1,3,5,1,2,1,1,,não,Não participo.
2020/05/18 1:58:43 PM GMT-3,30 - 34,Outro,Prefiro não declarar,Química,Paraná (PR),Pós-doutorando,Sim,2,Projeto 12,3,1,5,5,5,3,5,1,5,4,5,3,5,1,3,1,1,,não,Não participo.
2020/05/18 2:05:35 PM GMT-3,45 - 49,Masculino,Branca,Engenharia,São Paulo (SP),Professor - Pesquisador,Sim,3,Projeto 39,3,4,5,5,3,3,5,4,5,3,5,5,5,3,3,3,5,,não,Não participo.
2020/05/18 2:05:55 PM GMT-3,30 - 34,Masculino,Branca,Química,São Paulo (SP),Pós-doutorando,Não,,Projeto 14,3,3,5,4,2,5,5,5,5,2,5,5,5,4,5,2,5,,não,Não participo.
2020/05/18 2:06:01 PM GMT-3,25 - 29,Feminino,Branca,Química,São Paulo (SP),Aluno de doutorado,Sim,3,Projeto 14,1,2,5,2,4,2,5,5,5,3,5,5,5,2,4,1,3,,não,Não participo.
2020/05/18 2:31:38 PM GMT-3,30 - 34,Masculino,Branca,Engenharia,São Paulo (SP),Aluno de doutorado,Não,,Projeto 5,2,2,2,1,1,1,5,3,5,1,4,5,4,1,4,1,4,,não,Não participo.
2020/05/18 2:43:56 PM GMT-3,35 - 39,Masculino,Branca,Engenharia,São Paulo (SP),Pós-doutorando,Não,,Projeto 34,2,1,5,3,3,5,5,5,5,2,4,5,5,3,2,2,4,,não,Não participo.
2020/05/18 2:49:10 PM GMT-3,30 - 34,Masculino,Prefiro não declarar,Engenharia,São Paulo (SP),Aluno de doutorado,Não,,Projeto 31,3,3,4,3,3,3,5,4,5,3,5,5,5,5,5,3,4,,não,Não participo.
2020/05/18 2:54:22 PM GMT-3,55 - 59,Masculino,Branca,Engenharia,São Paulo (SP),Professor - Pesquisador,Não,,Projeto 5,3,3,5,5,2,3,5,4,5,4,5,3,5,3,4,4,4,,não,Não participo.
2020/05/18 3:01:03 PM GMT-3,45 - 49,Masculino,Branca,Engenharia,São Paulo (SP),Professor - Pesquisador,Sim,3,Projeto 34,2,3,4,1,1,3,5,4,5,1,1,5,5,4,4,2,5,,não,Não participo.
2020/05/18 3:13:06 PM GMT-3,30 - 34,Masculino,Branca,Física,Paraná (PR),Pós-doutorando,Não,,Projeto 41,1,1,3,1,1,1,2,1,3,1,2,1,3,2,2,1,3,,não,Não participo.
2020/05/18 3:31:37 PM GMT-3,35 - 39,Masculino,Branca,Engenharia,São Paulo (SP),Pesquisador,Não,,Projeto 10,1,1,4,2,1,3,5,3,5,3,3,5,5,5,5,3,3,,não,Não participo.
2020/05/18 3:43:30 PM GMT-3,25 - 29,Masculino,Prefiro não declarar,Engenharia,São Paulo (SP),Aluno de doutorado,Não,,Projeto 37,1,1,1,1,1,1,4,2,5,1,5,5,5,1,5,1,1,,não,Não participo.
2020/05/18 3:45:53 PM GMT-3,60 - 64,Masculino,Prefiro não declarar,Engenharia,Espírito Santo (ES),Pesquisador,Não,,Projeto 37,1,1,4,4,3,1,4,4,5,4,4,4,4,5,4,1,4,,não,Não participo.
2020/05/18 3:55:39 PM GMT-3,30 - 34,Masculino,Branca,Engenharia,São Paulo (SP),Pesquisador,Sim,3,Projeto 6,1,1,1,1,1,1,4,1,5,1,4,5,5,3,1,1,1,,não,Não participo.
2020/05/18 4:04:27 PM GMT-3,25 - 29,Masculino,Branca,Engenharia,São Paulo (SP),Aluno de mestrado,Sim,3,Projeto 27,4,4,3,1,2,4,5,4,5,4,4,5,5,3,4,1,2,,não,Não participo.
